,Category,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Governing Law,Notice to terminate renewal,Exact_Law,Exclusivity,Post-Termination Services,Discrepancy,Notice to Terminate Renewal,Unnamed: 14,Unnamed: 15,Filename
27,Transportation,['Road Transportation Agreement'],"['Party A (Shipper): ZTO Express Co., Ltd.', 'Party B (Carrier): Tonglu Tongze Logistics Ltd.']","['December 22, 2014']","['This Agreement takes effect upon the signatures and seals of both Parties in triplicate.<omitted>December 22, 2014']",['Period of transportation services: this Agreement is valid for an indefinite term.'],[],International Law,,International Law,[],[],,[],,,ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf
28,Co_Branding,['CO-BRANDING AND ADVERTISING AGREEMENT'],"['2THEMART.COM, INC.', '2TheMart', 'i-Escrow', 'I-ESCROW, INC.']","['June 21, 1999']","['June 21, 1999']","['The term of this Agreement shall continue for one (1) year following the Launch Date, unless earlier terminated as provided herein.']","['In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year.', 'A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.']",International Law,,International Law,[],"['Notwithstanding the foregoing, unless this Agreement was terminated for a material breach, all provisions of this Agreement shall survive to the extent necessary for i-Escrow to complete any Customer transactions which are pending at the time of expiration or termination.']","The 'Governing Law' is stated as 'International Law', which is quite broad and could potentially lead to confusion or disputes regarding which specific laws to apply in case of disagreements or breaches. It would be more appropriate to specify a particular country's laws or international conventions that this agreement intends to adhere to. Additionally, there appears to be a repetition in the 'Notice to Term","['In the event that either party does not give such notice, the term of this Agreement shall be automatically renewed for another one (1) year.', 'A party wishing to renew this Agreement shall give the other party notice thereof no less than thirty (30) days before the expiration of the term then in effect.']",,,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf
29,Co_Branding,['CO-BRANDING AGREEMENT'],"['Sponsor', 'Snap Technologies, Inc.', 'United Airlines, Inc.', 'Snap']","['June 8, 1999']","['The Term shall commence on the date of this Agreement and, unless earlier terminated or extended as provided below, shall end as of December 31, 2000.']","['The Term shall commence on the date of this Agreement and, unless earlier terminated or extended as provided below, shall end as of December 31, 2000.']",[],International Law,,'International Law',"['During the Term, Snap will not grant any third party any right to sponsor any products or services in the Exclusive Category on or through the Snap Web Site.', 'For the avoidance of doubt, the parties acknowledge that the foregoing restriction applies only to persistent sponsorship placement as judged by Sponsor at its discretion, and not to run-of-site banner advertisements or other rotating promotional placements.']",[],"The 'Expiration Date' and 'Renewal Term' are identical, which might cause confusion. Also, there is no specified process for 'Notice to terminate renewal' or 'Notice to Terminate', and 'Post-Termination Services' are not defined.",[],,,EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf
30,Co_Branding,['CO-BRANDING CONTENT AGREEMENT'],"['HEALTHCENTRAL.COM INC.', 'MEDIALINX INTERACTIVE, L.P.', 'MLX', 'HCI']",['30th day of June 1999'],"['The effective date of the start of the Term will be from the Launch Date.<omitted>The Parties have agreed that they will mutually approve the design of the      Co-Branded Site and that the launch date of the Co-Branded Site shall be      September 1st, 1999 unless mutually extended by the Parties as agreed to in      writing.']","['The term of this Agreement shall be for a period of two (2) years (the ""Term"").']",[],International Law,,,"['HCI shall not either directly or indirectly license or deliver content to or carry on or be engaged with any other Canadian portal web site, being a Web site which aggregates and markets a variety of content directed to multiple communities of interest and which offers products,\n\nSource: HEALTHCENTRAL COM, S-1/A, 11/8/1999\n\n\n\n\n\ntools and services to a broad base of Canadian end users.', 'During the Term of the Agreement, and subject to the following requirements respecting Canadian content levels as set out in paragraphs 3(f), (g) and (h), HCI shall be the exclusive health content partner in the health section of the Sympatico web site, provided however, that nothing contained herein shall prevent MediaLinx from entering into an agreement with other parties for: i) a health based web directory; or ii) other health related content whose content does not compete with the content contained on the Co-Branded Site; which in no event shall receive no more than one fifth (1/5th) of the promotion and which shall constitute no more than one fifth (1/5th) of the total health related content which resides on the home page of the Sympatico Health section.', 'If, at any time during the Term of this Agreement, HCI fails to meet the content requirements set out in paragraphs 3(f), (g) and (h), HCI shall no longer be entitled to be the exclusive health content partner in the health section of the Sympatico web site.']",[],,[],,,HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf
31,Co_Branding,['CO-BRANDING AGREEMENT'],"['Impresse Corporation', 'VerticalNet, Inc.', 'VerticalNet', 'Impresse']","['March 3, 2000']","['March 3, 2000']",['The Term of this Agreement shall begin on the Effective Date and shall end fifteen months therefrom.'],[],International Law,,"'Civil Law' would be the most likely governing law, given that 'International Law' is a broad category and this contract is between parties from different countries. A specific civil code or country-specific law might apply here, but that information is not provided.",[],"[""During the term of this Agreement and for one year thereafter, VerticalNet shall have the right to appoint a certified public accountant to audit Impresse's financial records relating to such payment to verify the accuracy of Impresse's financial records in order to verify the amount of the payments owed and/or paid hereunder, but no more frequently than once per year.""]",,[],,,ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf
32,Co_Branding,['CO-BRANDING AGREEMENT'],"['ebix.com, Inc.', 'ebix', 'About', 'About.com, Inc.']","['19th day of January, 2001']","['19th day of January, 2001']","['The term of this Agreement (the ""Term"") shall commence on the date hereof       (the ""Effective Date"") and shall expire upon delivery of [**] to ebix,       but in no way shall this Agreement extend any later than thirty (30)       months from the Effective Date regardless of the number Filled       Application Forms delivered to ebix. About will make commercially       reasonable efforts to achieve that number in twelve (12) months or less       from the Effective Date.']",[],International Law,,'International Law',"['The Insurance Center shall be hosted solely by ebix and contained in an About Wrapper and ebix shall, during the Term, provide site maintenance services relative to the Insurance Center substantially as provided for the ebix Site from time to time, subject to the uptime requirements as set forth in Section 13.4  [TERMINATION AND SURVIVAL].', 'During the Term, ebix shall be the exclusive integrated online insurance provider in the Channels and Guide Sites listed in Section 3.1  [DEVELOPMENT, OPERATION AND ADMINISTRATIO...] above. [**]']",[],"The 'Governing Law' stated is 'International Law', which is quite broad. It would be more specific and appropriate to define the exact international convention, treaty, or regulations that will govern the contract. Also, there is no clarity on the method or period of notice to terminate the agreement, which could potentially lead to discrepancies during termination.",[],,,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf
33,Co_Branding,['CO-BRANDING AGREEMENT'],"['At Home Corporation (""Excite@Home"" or ""Excite"")', 'e-centives, Inc., (""Application Provider"" or ""e-centives"")']","['16th day of February, 2000']","['16th day of February, 2000']","['The term of this Agreement will begin on the Effective Date and will end      three (3) years from the date the Co-Branded Application becomes      accessible to Excite@Home Members (""Launch Date"").']",[],International Law,,International Law,[],"[""Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows:\n\n       i)   Excite@Home will email Program Members on e-centives' behalf up                to a maximum of two times. Consistent with other communications                envisioned during the Term of the Agreement, such mailings will                be branded Excite@Home but will alert Program Members that this                Agreement is to be terminated, the Co-Branded Application will<omitted>continue with e-centives branding, and Program Members will                continue as a participant in the e-centives service unless they                explicitly opt out.  The content and copy of such emails shall be                mutually agreed upon.\n\n       ii)  The first email will be exclusive to e-centives (i.e., it will                not mention similar services from Excite@Home or other third                parties) and will alert Program Members of the continuation of                the e-centives service directly from e-centives. Program Members                shall be further alerted that their membership in the e-centives                service shall continue unless they explicitly opt-out.                Excite@Home shall not promote competing services in such contact                or otherwise discourage Program Members from continuing to use                the e-centives service as provided directly by e-centives.\n\n       iii) The second email will not be exclusive to e-centives. It will                include the same e-centives alerts as in the first email, but may                offer a replacement Excite@Home service and a notification that                the Program Member will remain in such an Excite@Home-provided                service unless they specifically opt-out. Excite@Home shall not                discourage Program Members from continuing to use the e-centives                service directly from e-centives, but may offer an additional                choice. It is conceivable that any one end user customer could                use both services.\n\n       iv)  Any such communications will be subject to Excite@Home's                then-current privacy policy."", ""Effects of Termination<omitted>iii) For a period of up to sixty (60) days, Application Provider will           provide consulting services to Excite@Home, as Excite@Home may           reasonably request and for reasonable fees to be paid to Application           Provider, such fees to be agreed upon in writing by the Parties, to           assist Excite@Home in providing a seamless transition to Program           Members. Application Provider will have no obligation to provide such           services to Excite@Home to the extent that Application Provider's           personnel and resources are unavailable in the amounts requested by           Excite@Home or if the Parties are unable in good faith to agree on the           reasonable fees to be paid to Application Provider for such services.           Application Provider will not be required, in the course of providing           such consulting services to Excite@Home, to disclose or transfer to           Excite@Home any proprietary information, software, or Intellectual           Property of Application Provider or any of its merchant partners."", 'To further ensure a seamless transition for Program Members, in the           event of a termination based upon a material breach by e-centives or           an acquisition pursuant to Section 16.a.v. only, Application Provider           shall continue to host and maintain the Co-Branded Application for a           period of one hundred twenty (120) days following either receipt or           issuance of notice of intention to terminate this Agreement. Such           hosting and maintenance of the Co-Branded Application shall be           provided by Application Provider at such reasonable rates as are           mutually agreed upon by the parties.']",There are a few discrepancies in the provided details.,[],,,InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf
34,Co_Branding,['CO-BRANDING AGREEMENT'],"['Lucent Technologies Inc.', 'Lucent', 'mPhase Technologies Inc.', '(each individually, ""a Party"" and, collectively, ""the Parties""}.', 'mPhase']",['21st day of January 2003'],[],"['The Term of this Agreement will commence on the date above, and shall          continue for a term of one (1) year']","['mPhase shall have the right to          annually renew this agreement for a period of one year upon each annual          expiration with the written consent of Lucent, which written consent          shall not be unreasonably withheld.']",International Law,,International Law,[],[],,[],,,MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf
35,Co_Branding,['CO-BRANDING AGREEMENT'],"['VerticalNet', 'LeadersOnline', 'VerticalNet, Inc.', '(each a ""Party"" and together the ""Parties"").', 'LeadersOnline, Inc.']","['March 15, 2000']","['March 15, 2000']","['Term shall mean the Effective Date through June 15, 2001 and any Renewal Term (as defined in paragraph 7.4 herein.)']","['LeadersOnline shall have the option, subject to VerticalNet\'s approval exercised in its sole  and absolute discretion, to extend the Term of this Agreement for an additional 12 months (a ""Renewal Term"") on such terms and conditions as may be mutually agreed upon by the Parties.']",International Law,,"'Civil Law' would be the most applicable governing law in this case, since 'International Law' is a broad term and there are no specific mentions of any country-specific commercial codes or contract acts. 'Civil Law' is a general term used to describe a legal system that comprises of codified laws.",[],[],,[],,,LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf
36,Co_Branding,['CO-BRANDING AGREEMENT'],"['VerticalNet, Inc.', 'VerticalNet', 'Neoforma', 'Neoforma.com, Inc.']","['November 19, 1999']","['November 19, 1999']","['INITIAL TERM shall mean the Effective Date through the day prior to the second anniversary of the Effective Date, unless earlier terminated pursuant to Section 11.']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']",International Law,,"'Civil Law'  (as the governing law specified is International Law, and this encompasses various civil codes)","['Within 30 days after the Effective Date, Neoforma shall provide a copy of all Neoforma Laboratory Product Listings existing as of the Effective Date to VerticalNet for use on the VerticalNet Sites on an exclusive basis (even as to Neoforma), to the extent Neoforma has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for New Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Career Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Neoforma hereby grants VerticalNet an exclusive license, even as to Neoforma, to use, modify, enhance, reproduce, display, perform and transmit the Neoforma Laboratory Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent Neoforma has the right to do so.', 'Neoforma shall not place any Link on a Neoforma Site to, or a Neoforma Link on the Site of, any other provider or host of a service similar to the Co-Branded Training and Education Center or to any other training or education service websites.', 'From time to time during the Term, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings received by VerticalNet after the Effective Date to Neoforma as such Product Listings are made available to VerticalNet for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of all advertising on the Co-Branded Sites, subject to reasonable approval of each such advertiser by Neoforma.', 'VerticalNet hereby grants Neoforma an exclusive license, even as to<omitted>VerticalNet, to use, modify, enhance, reproduce, display, perform and transmit the VerticalNet Medical Product Listings, subject to and in accordance with the terms, conditions and provisions of this Agreement, to the extent that VerticalNet has the right to do so.', 'Within 30 days after the Effective Date, VerticalNet shall provide a copy of all VerticalNet Medical Product Listings for Used and Excess Medical Products existing as of the Effective Date to Neoforma for use on Neoforma Plan, Neoforma Shop and Neoforma Auction on an exclusive basis (even as to VerticalNet), to the extent VerticalNet has the right to do so.', 'Neoforma hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the Neoforma T&E Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.', 'Notwithstanding the foregoing, VerticalNet\'s activities in connection with its ""Storefronts"" and ""E-Commerce Centers"" (as conducted today, in a fashion substantially similar to the manner in which such activities are conducted today or as otherwise mutually agreed upon by the parties, which agreement shall not be unreasonably withheld or delayed) shall not be considered to be a breach of Section 2.1  [MEDICAL PRODUCTS], 2.2  [MEDICAL PRODUCTS] or 2.3  [MEDICAL PRODUCTS].']","['If a Termination Notice is sent, the parties shall promptly meet to discuss a phase-out of the Co-Branded Sites and all Links and transfers of Product Listings set forth herein.']",,"['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either Party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement (a ""Termination Notice"").']",,,NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf
37,Co_Branding,['CO-BRANDING AGREEMENT'],"['PaperExchange', 'PaperExchange.com, LLC', 'VerticalNet, Inc.', 'VerticalNet']",[],"['September 30, 1999']","['Initial Term shall mean the Effective Date through the day prior to the fourth anniversary of the Effective Date, unless earlier terminated pursuant to Section 8']","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']",International Law,,'Civil Law' (as 'International Law' is too broad and this contract contains elements of a civil nature),"['PaperExchange shall retain the right to place advertisements for its own account on the remaining ***** of the Third Party Advertising Allocation; provided, however, that if any portion of such Third Party Advertising Allocation remains unsold 45 days after it becomes available for advertising, VerticalNet shall have the exclusive right to arrange for third party advertising on such unsold Third Party Advertising Allocation.', 'During the Term, VerticalNet shall have the exclusive right to arrange for the sale of ***** of the third party advertising inventory (which shall consist of a minimum of one advertisement per page on each of the ""Co-Branded Equipment,"" ""Co-Branded Careers,"" ""Resources"" and ""Home Page"" sections or successor, replacement or substitute sections) of the PaperExchange Site and shall be consistent with the amount of advertising on other business to business vertical sites on the PaperExchange Site (the ""Third Party Advertising Allocation"").', 'PaperExchange hereby grants VerticalNet an exclusive license to use, modify, enhance, reproduce, display, perform and transmit the PaperExchange Content, subject to and in accordance with the terms, conditions and provisions of this Agreement.']","[""Upon termination of this Agreement,<omitted>(b) VerticalNet shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the PaperExchange Links from Co-Branded Sites and the modification of the Co-Branded Sites, including, but not limited to, the removal of PaperExchange Content; (c) PaperExchange shall be responsible for all charges, payments or expenses incurred by it in connection with the removal of the VerticalNet Links, VerticalNet Content and VerticalNet Archived Content from the PaperExchange Site;<omitted>(i) VerticalNet shall retain ownership of the URLs at which the Co-Branded Sites are located, (I) the Co-Branded URLs shall be owned by the party that offers to pay the highest amount to the other for the ownership of such URLs upon payment of such amount to the other party (k) if the agreement is terminated during the Initial Term by VerticalNet pursuant to Section 8.2  [Termination for Cause], (x) VerticalNet shall be released from its obligations under Section 5.8.1  [Non-Competition] and (y) PaperExchange's obligations under Sections 7.2  [Advertising Revenue] and 7.4  [Revenue Sharing] shall be extended for one year after the date of such termination, and (I) if the agreement is terminated during the Initial Term by PaperExchange pursuant to Section 8.2  [Termination for Cause], VerticalNet shall pay to PaperExchange, as liquidated damages, an amount equal to the product determined by multiplying (1) a fraction, the numerator of which shall be the number of days between the effective date of termination and the scheduled expiration date of the Initial Term, and the denominator of which shall be the number of days<omitted>between the Effective Date and the scheduled expiration date of the Initial Term, by (2) *****""]","There is no explicit 'Agreement Date' specified in the details provided, which could potentially cause issues in interpreting and applying the contract. Also, certain critical financial details are omitted in the 'Post-Termination Services' section, such as the rate or formula for calculating the amount VerticalNet","['This Agreement will automatically renew at the end of the Initial Term or a subsequent renewal term on a year to year basis (each, a ""Renewal Term""), unless either party notifies the other at least 30 days prior to the end of the Initial Term or then current Renewal Term, as applicable, of its intention not to renew this Agreement.']",,,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf
38,Co_Branding,['CO-BRANDING AGREEMENT                                      (FORM)'],"['NETTAXI', '""SpinRecords.com""  or  ""Client""', 'Solutions  Media,  Inc.,  dba SpinRecords.com', 'NETTAXI Online Communities, Inc.']","['Nov  5,  1999']","['Nov  5,  1999']","['This  Agreement  shall  be effective upon the              ------------------- Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']","['This  Agreement  shall  be effective upon the<omitted>Effective Date and shall remain in force for a period of one (1) year, and shall be automatically renewed for successive periods of one (1) year unless otherwise terminated  as provided  herein.']",International Law,,International Law,[],[],"There are a few discrepancies in the provided details. First, the 'Notice to terminate renewal' and 'Post-Termination Services' sections are marked as 'nan' (not a number), which suggests that these details might be missing or incomplete. Additionally, the 'Exclusivity' section is empty, which may indicate an oversight or the non-exclusivity nature of the agreement",[],,,RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf
39,Co_Branding,['CO-BRANDING AGREEMENT'],"['PlanetCAD Inc. (formerly known as Spatial Technology Inc.)', '(""Dassault Systemes"") and/or certain affiliates of Dassault Systemes,', 'PlanetCAD', 'Dassault Systemes', '(each a ""Party,"" together, the ""Parties"").']","['November 14, 2000']","['November 14, 2000']","['This Agreement shall be effective as of the Effective Date and shall continue in force for three years from the Launch Date (the ""Initial Term"") unless earlier']",['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],International Law,,'International Law',[],[],,['The Agreement shall automatically renew for successive one year additional terms unless terminated by either party at least six months prior to the expiration of the then-current term.'],,,RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf
40,Co_Branding,['CO-BRANDING Agreement'],"['The Boxlot Company', 'Boxlot', 'theglobe', 'theglobe.com, Inc.']","['March ___, 1999']","['March ___, 1999']","['""Launch Date"" means the first date on which the Service is made publicly available.<omitted>This Agreement will become effective on the Effective Date and will continue in effect for 2 years following the Launch Date.']",[],International Law,,International Law,[],[],"The primary discrepancy in the provided details is the lack of specificity regarding the international law that governs this co-branding agreement. International law is a broad term that encompasses many different areas of law, including contracts, commercial transactions, and intellectual property. However, this contract should specifically name the international treaty, convention, or legal doctrine that will be applied in case of disputes. Additionally, other missing details",[],,,TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf
41,Co_Branding,['MANIFEST SYSTEM SERVICES AND CO-BRANDING AGREEMENT'],"['MBE', 'iShip.com, Inc.', 'MAILBOXES ETC. USA, INC.', 'Mail                                                         ------- Boxes Etc. USA, Inc.', 'Company']","['April 27, 1999']","['April 27, 1999']",['The initial term of this Agreement shall          ----------------------- commence on the Effective Date and end on the fifth anniversary of the Effective Date.'],"['MBE shall have the right to elect by written notice to the Company at any time between two (2) and six (6) months prior to the end of such initial term or any subsequent Renewal Period (as defined below), to notify the Company that MBE elects to seek to extend such term for additional two (2)-year periods (each a ""Renewal Period"") In the event of such election, MBE and the Company shall have  -------------- a period of sixty (60) days in which to negotiate commercially reasonable Basic Fees, Bounty Fees and eBay Fees (and other applicable fees) (""Fee Schedule"")                                                               ------------ under which the Company would be willing to renew this Agreement for such Renewal Period.', 'If MBE notifies the Company of its intent to so renew prior to the end of such initial term or such Renewal Period, the term of this Agreement shall automatically be extended for the Renewal Period and, other than the Fee Schedule, all of the terms and conditions of this Agreement shall remain in full force and effect.']",International Law,,'International Law',"['The Company shall not enter into any agreement or arrangement,      including without limitation any sale, license, service agreement,      co-branding agreement, co-marketing agreement or linking agreement with any      provider of manifesting or shipping services through non-carrier retail      shipping locations; provided, however, that:\n\n               (A) the Company may provide listings of carrier drop-boxes or      carrier-owned counter drop-off locations specific to a particular carrier      (including, without limitation, locations within retail establishments) on      the Company Site, provided that such listings do not include retail      shipping locations, including UPS authorized shipping outlets, FedEx      authorized shipping centers and other commercial mail receiving agencies;      and\n\n               (B) the Company may enter into any such agreement or arrangement      so long as MBE is given advance written notice of such agreement or      arrangement and such agreement or arrangement prohibits the use of the      Manifest or any Company Technology to manifest or ship packages for retail      customers and provided further that Company terminates service to any such      entity that uses the Manifest or any Company Technology to serve retail      customers.', 'MBE shall not enter into any agreement or arrangement with any      provider of an online or Internet-based manifest system other than the      Company.']","['If this Agreement is terminated or expires in accordance with this Section 15 (other than termination by the Company in the event of an uncured material breach by MBE), then MBE shall have a period of up to twenty-four (24) months from and after the date of such termination, to make arrangements with respect to the conversion of the Service to a non-Company manifest system (the ""Termination Period"").', ""During the Termination Period, the Company will give reasonable cooperation and support to MBE to assure an orderly and efficient transition and, without limiting the generality of the foregoing, at MBE's expense, the Company shall be obligated to provide MBE with data reasonably necessary for MBE to convert or implement the non-Company systems, procedures and practices."", 'During the Termination Period each party will continue to perform its obligations hereunder, and MBE and MBE Centers will continue to pay any applicable fees and payments hereunder to the Company.', 'During the Termination Period and thereafter, and notwithstanding any other provision of this Agreement, MBE will be free to use its own personnel, and/or engage or contract with any third party to use the Specifications to design, develop and market an Internet-based manifest system similar to the Manifest (including products that contain functionality similar to the Service and which have a ""look and feel"" similar or identical to the Manifest), in each case solely for the benefit of MBE and the MBE Centers and international franchisees or licensees of MBE.']","The discrepancy lies in the fact that there is no specific governing law or regulation mentioned within the provided contract details, other than the general statement of 'International Law'. A more specific governing law should be identified to avoid ambiguity and ensure clear understanding and application of the relevant legal framework.",[],,,StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf
42,Endorsement,['CELEBRITY ENDORSEMENT AGREEMENT'],"['Joseph Theismann', 'Bizzingo, Inc.', 'Theismann', 'Bizzingo']","['March 14, 2012']","['March 1, 2012']","['Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period  of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written  addendum of the Agreement extending such term.']","['Unless sooner terminated under the provisions hereof, this Agreement shall commence on the Effective Date and continue for a period  of one (1) year (""Term""). provided however, that the Parties may extend the Term for an additional year period by entering into an written  addendum of the Agreement extending such term.']",International Law,,'Civil Law' (as 'International Law' is a broad category and this contract does not specify a particular commercial code or contract act),"['Theismann represents and warrants that, except as otherwise disclosed herein, he has not granted nor will he grant during the Term  and for a period of one (1) year thereafter to any other party any right, permission, or license to use the Property in connection with  the advertisement, sale, or promotion of the Network or in connection with networks that are identical or substantially similar to the  Network.', 'Notwithstanding the foregoing, during the term and for a period of one (1) year thereafter, Theismann shall not use,  permit the use of, or license to others the Property in connection with the advertisement, promotion, and sale of any network or Internet service,  including but limited to all computer/video games, CD-ROMs, and/or interactive video of any form, except for a pre-existing license by Theismann.']",[],"The 'Notice to terminate renewal' and 'Post-Termination Services' are not provided in the contract, which might lead to confusion or disputes regarding the termination process and any potential obligations following the end of the agreement. It is advisable to include clear provisions for",[],,,BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement.pdf
43,Endorsement,['ENDORSEMENT AGREEMENT'],"['Berkshire', 'BERKSHIRE BANK', 'Auriemma', 'GENO AURIEMMA', '(Each or both of which shall  hereinafter be referred to as the ""PARTY"" or ""PARTIES,"" respectively).']",['5/17/12'],[],"['""CONTRACT PERIOD"" means that period of time commencing upon the full execution of this Agreement by both Parties and  terminating on May 31, 2016 unless sooner terminated under this Agreement.']",[],International Law,,International Law,"['Auriemma expressly agrees and undertakes that:     a) The right to use the Auriemma Identification has not been previously granted nor will it be granted to anyone other than Berkshire  for use during the Contract Period within the Contract Territory in connection with the advertisement, promotion and sale of products and services  which are the same as or similar to any of the Financial Services;', 'Auriemma grants to Berkshire the exclusive right and license (the ""License Rights"") to use the Auriemma Identification during the  Contract Period and throughout the Contract Territory solely in connection with the advertisement and promotion of Berkshire and the Financial  Services;', ""The License Rights are exclusive to Berkshire and may not be assigned or in any way conveyed by Berkshire without Auriemma's  express written consent, except in the event of a merger by Berkshire with another entity offering Banking Services.""]","[""Notwithstanding the foregoing, if the Agreement is  terminated for any reason other than Berkshire's material breach, then for thirty (30) days following such termination, Berkshire may continue to  use any printed material already produced under this Agreement.""]",,[],,,BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf
44,Endorsement,['ENDORSEMENT AGREEMENT'],"['NFLA-NC', 'National Football League Alumni, Inc.', 'Gridiron BioNutrients™', 'NFLA', 'National Football League Alumni - Northern California Chapter', 'Food For Athletes, Inc', '(collectively the ""Company"").']","['October 30, 2017']","['All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.']","['All terms of this Agreement will automatically commence on November 1st, 2017, and expire on November 2nd, 2020.']",[],International Law,,International Law,['NFLA agrees not to grant the right to use the NFLAs Identification to anyone other than Company in connection with the advertisement and promotion of Products.'],"[""Company may liquidate and sell its inventory of Licensed Products (including any inventory then in production) for a period of ninety (90) days after the termination date of the Contract Period, subject to the Company's continued obligation to pay the Fee as provided above, and will deliver the Sales Report with respect to such liquidation sales within 30 days following the end of the first reached full quarter following termination.""]","Yes, there is a discrepancy in the provided details. The 'Expiration Date' and 'Effective Date' are the same, which indicates that the agreement will only last for one day. This is likely not the actual intent of the parties involved.",[],,,GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf
45,Endorsement,['TALENT ENDORSEMENT AGREEMENT'],"['Celebrity Speakers', 'Tigrent Learning UK Limited', 'CSA', 'Talent', 'Robbie Fowler', 'Company']",['____ day of ______________ 2013'],"['""Commencement Date"" means: 1st January 2013.']","['""Term"" means: 1.5t January 2013 to 315t December 2013 or until terminated under the provisions of this Agreement or the Primary Agreement.']",['The period of license granted shall be for the Term and shall extend for a period of twenty four (24) months or until terminated as per clause 8 herein.'],International Law,,International Law,[],"['Talent agrees that Company shall, for a period of nine (9) months (Sell-Off Period) following the effective date of termination, have the right to continue to sell Product bearing  the Property and/or utilize advertising materials and collateral bearing the Property.']","Yes, there is a discrepancy in the Agreement Date and Effective Date. The Agreement Date is left blank and should be filled in with the actual date. However, the Effective Date is stated as the 1st of January 2013, which contradicts the statement that the Commencement Date means the date of the agreement. Additionally, the expiration date mentions ""315t December",[],,,LegacyEducationAllianceInc_20141110_8-K_EX-10.9_8828866_EX-10.9_Endorsement Agreement.pdf
